Question,Answer
Il segnale raffigurato indica la fine del percorso riservato ai pedoni,V
Il segnale raffigurato indica la fine del relativo divieto,V
Il segnale raffigurato indica la fine del viale pedonale,V
Il segnale raffigurato indica la fine del viale riservato ai bambini,F
Il segnale raffigurato indica la fine della pista ciclabile,V
Il segnale raffigurato indica la fine della pista ciclabile affiancata ad un percorso riservato ai pedoni,V
Il segnale raffigurato indica la fine della pista ciclabile affiancata al marciapiede,V
Il segnale raffigurato indica la fine delle piste riservate ai pedoni e alle biciclette,F
Il segnale raffigurato indica la fine delle prescrizioni precedentemente imposte,V
Ciascuno dei pannelli integrativi raffigurati indica l'unica direzione consentita,F
Il segnale raffigurato indica la fine dell'obbligo di mantenere una distanza di sicurezza di almeno 50 m,F
Il segnale raffigurato indica la fine dell'obbligo di passare con biciclette condotte a mano,F
Il segnale raffigurato indica la fine dell'obbligo di tenere la distanza di almeno 30 m dal veicolo che precede,F
Il segnale raffigurato indica la fine di un centro abitato,F
Il segnale raffigurato indica la fine di un doppio senso di circolazione,V
Il segnale raffigurato indica la fine di un percorso riservato,V
Il segnale raffigurato indica la fine di un percorso riservato ai ciclisti,V
Il segnale raffigurato indica la fine di un percorso riservato ai pedoni e ai ciclisti,V
Il segnale raffigurato indica la fine di un tratto di strada sdrucciolevole,F
Il segnale raffigurato indica la fine di una pista ciclabile,F
Ciascuno dei pannelli integrativi raffigurati indica una corsia riservata,F
Il segnale raffigurato indica la fine di una pista riservata alle biciclette,V
Il segnale raffigurato indica la fine di una prescrizione,V
Il segnale raffigurato indica la pendenza di una salita ripida,V
Il segnale raffigurato indica la possibilità di passare sia a destra che a sinistra di un ostacolo,F
Il segnale raffigurato indica la velocità massima alla quale i veicoli possono procedere,V
Il segnale raffigurato indica la vicinanza di un'officina per veicoli a due ruote,F
Il segnale raffigurato indica le uniche direzioni permesse,V
Il segnale raffigurato indica le uniche direzioni permesse,V
Il segnale raffigurato indica l'entità della pendenza di una salita ripida,F
Il segnale raffigurato indica l'inizio del doppio senso di circolazione,F
Ciascuno dei pannelli integrativi raffigurati integra l'indicazione di pericolo del segnale sotto cui è posto,V
Il segnale raffigurato indica l'inizio del percorso riservato ai pedoni,F
Il segnale raffigurato indica l'inizio del senso unico,F
Il segnale raffigurato indica l'inizio dell'area dove possono circolare solo particolari categorie di veicoli,V
Il segnale raffigurato indica l'inizio dell'area in cui la circolazione può essere limitata,V
Il segnale raffigurato indica l'inizio di un viale pedonale,V
Il segnale raffigurato indica l'inizio di una corsia riservata ai veicoli lenti,F
Il segnale raffigurato indica l'inizio di una pista ciclabile,F
Il segnale raffigurato indica l'inizio di una strada a senso unico,V
Il segnale raffigurato indica l'inizio di una strada in cui i veicoli hanno diritto di precedenza,V
Il segnale raffigurato indica l'inizio di una strada riservata alla circolazione dei veicoli a motore,V
Ciascuno dei pannelli integrativi raffigurati vale solo nei giorni feriali,F
Il segnale raffigurato indica l'inizio di una zona a traffico limitato,V
Il segnale raffigurato indica l'inizio di una zona in cui è vietato suonare il clacson,V
"Il segnale raffigurato indica l'inizio di una zona riservata alla circolazione dei pedoni, delle biciclette e dei veicoli di emergenza",V
Il segnale raffigurato indica l'obbligo di arresto ad un posto di blocco stradale istituito dagli organi di polizia,V
Il segnale raffigurato indica l'obbligo di cambiare corsia,F
Il segnale raffigurato indica l'obbligo di condurre a mano la bicicletta,F
Il segnale raffigurato indica l'obbligo di parcheggiare la bicicletta e proseguire a piedi,F
Il segnale raffigurato indica l'obbligo di svolta a destra,F
Il segnale raffigurato indica l'obbligo di tornare indietro,F
Il segnale raffigurato indica l'unica direzione consentita,V
"Ciascuno dei pannelli integrativi raffigurati, posto ad integrazione del segnale DIVIETO DI SOSTA, indica il punto dove termina il divieto",V
Il segnale raffigurato indica luoghi dove è vietata la sosta ma non la fermata,V
Il segnale raffigurato indica presenza di un deposito con probabile uscita di mezzi per pulizia meccanica delle strade,F
Il segnale raffigurato indica riduzione da due a una corsia di marcia,V
"Il segnale raffigurato indica sosta libera, ma divieto di fermata",F
Il segnale raffigurato indica strada con diritto di precedenza,F
Il segnale raffigurato indica un attraversamento pedonale non regolato da semaforo,V
Il segnale raffigurato indica un divieto di parcheggio,F
Il segnale raffigurato indica un incrocio con circolazione rotatoria,V
Il segnale raffigurato indica un incrocio in cui si deve dare precedenza a sinistra,F
Il segnale raffigurato indica un limite di velocità valido solo per i veicoli a due ruote,F
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale CADUTA MASSI, indica il punto d'inizio del pericolo",V
Il segnale raffigurato indica un parcheggio autorizzato,V
Il segnale raffigurato indica un percorso pedonale,F
Il segnale raffigurato indica un percorso per pedoni e ciclisti,V
Il segnale raffigurato indica un percorso riservato ai ciclisti,V
Il segnale raffigurato indica un percorso riservato ai pedoni,V
Il segnale raffigurato indica un percorso riservato ai quadrupedi da sella,V
Il segnale raffigurato indica un percorso vietato ai ciclomotori e ai motocicli,V
Il segnale raffigurato indica un senso unico alternato,F
Il segnale raffigurato indica un tratto di strada con diritto di precedenza,V
Il segnale raffigurato indica una corsia riservata ai veicoli al servizio di persone invalide,F
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale DIVIETO DI SORPASSO, indica la continuazione del divieto",V
Il segnale raffigurato indica una corsia riservata alle autovetture,F
Il segnale raffigurato indica una corsia riservata alle biciclette,V
Il segnale raffigurato indica una corsia riservata alle biciclette affiancata ad un percorso pedonale,V
Il segnale raffigurato indica una curva pericolosa a destra,F
Il segnale raffigurato indica una deviazione obbligatoria,F
Il segnale raffigurato indica una discesa pericolosa a sinistra,F
Il segnale raffigurato indica una pista ciclabile,F
Il segnale raffigurato indica una pista ciclabile,F
Il segnale raffigurato indica una pista ciclabile a fianco del marciapiede,F
Il segnale raffigurato indica una pista ciclabile vicina al marciapiede,F
Alla guida di un ciclomotore è necessario guidare con prudenza,V
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale DIVIETO DI SOSTA, indica che il divieto ha inizio in quel punto",V
Il segnale raffigurato indica una pista riservata ai veicoli in grado di superare la velocità di 30 km/h,F
Il segnale raffigurato indica una pista riservata alle biciclette e ai ciclomotori,F
Il segnale raffigurato indica una strada riservata ai pedoni,F
Il segnale raffigurato indica una zona esclusa al transito di veicoli a motore,F
Il segnale raffigurato indica una zona residenziale fuori dai centri urbani,F
Il segnale raffigurato indica un'area di parcheggio e può essere integrato con pannello che indica le categorie di veicoli esclusi,V
Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che ne indica la limitazione nel tempo,V
Il segnale raffigurato indica un'area di sosta con parchimetro,F
Il segnale raffigurato indica un'area esclusa al passaggio di ciclisti e pedoni,F
Il segnale raffigurato indica un'area transitabile con ciclomotori condotti a mano,F
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale DIVIETO DI SOSTA, indica la continuazione del divieto",V
Il segnale raffigurato invita a procedere a velocità particolarmente moderata,V
Il segnale raffigurato invita ad accertarsi che i veicoli che si immettono diano la precedenza,V
Il segnale raffigurato invita ad assicurarsi che i veicoli provenienti dalle strade laterali diano la precedenza,V
Il segnale raffigurato invita ad usare prudenza,V
Il segnale raffigurato invita ad usare prudenza perché possiamo trovare ciclisti che attraversano la carreggiata,V
Il segnale raffigurato nei centri urbani segnala il divieto di sosta limitato ai giorni e alle ore indicate,V
Il segnale raffigurato non permette ai pedoni di percorrere quella strada,V
Il segnale raffigurato non permette di sorpassare un veicolo fermatosi per far attraversare i pedoni,V
Il segnale raffigurato non permette di svoltare a destra,V
Il segnale raffigurato non permette di svoltare a sinistra,V
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale DIVIETO DI TRANSITO, indica la corsia consigliata",F
Il segnale raffigurato non permette il sorpasso se deve essere oltrepassata la striscia continua,V
Il segnale raffigurato non permette il transito ai ciclomotori,V
Il segnale raffigurato non permette il transito ai veicoli,V
Il segnale raffigurato non permette il transito ai veicoli,V
Il segnale raffigurato non permette il transito dei quadricicli a motore,F
Il segnale raffigurato non permette la circolazione dei ciclomotori,V
Il segnale raffigurato non permette la circolazione dei ciclomotori,V
Il segnale raffigurato non permette la sosta a veicoli diversi da quelli indicati nel pannello,V
Il segnale raffigurato non permette la svolta a destra,V
Il segnale raffigurato non permette la svolta a destra al prossimo incrocio,F
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale LAVORI, indica la fine del cantiere stradale",V
Il segnale raffigurato non permette la svolta a sinistra al prossimo incrocio,F
"Il segnale raffigurato non permette l'accesso, ma solo l'uscita da una strada",F
Il segnale raffigurato non vale per i ciclomotori,F
Il segnale raffigurato obbliga a circolare al centro della strada,F
Il segnale raffigurato obbliga a dare la precedenza ai pedoni,F
Il segnale raffigurato obbliga a dare la precedenza ai pedoni,F
Il segnale raffigurato obbliga a dare la precedenza ai veicoli provenienti dal senso contrario,V
Il segnale raffigurato obbliga a dare la precedenza ai veicoli provenienti dalla corsia di destra,F
Il segnale raffigurato obbliga a dare la precedenza ai veicoli provenienti di fronte,V
Il segnale raffigurato obbliga a disporsi su due file,F
"Ciascuno dei pannelli integrativi raffigurati, posto sotto il segnale STRADA SDRUCCIOLEVOLE, indica il punto dove termina il pericolo",V
Il segnale raffigurato obbliga a fermarsi in corrispondenza della striscia trasversale di arresto e a dare la precedenza,V
Il segnale raffigurato obbliga a invertire il senso di marcia nelle ore di lavoro degli operai,F
Il segnale raffigurato obbliga a proseguire diritto o svoltare a destra al prossimo incrocio,V
Il segnale raffigurato obbliga a rispettare il limite minimo di velocità indicato,F
Il segnale raffigurato obbliga a rispettare un limite massimo di velocità,V
Il segnale raffigurato obbliga a sorpassare l'ostacolo sulla sinistra,F
Il segnale raffigurato obbliga a svoltare a destra o a sinistra al prossimo incrocio,V
Il segnale raffigurato obbliga a svoltare a sinistra o a destra al prossimo incrocio,F
Il segnale raffigurato obbliga a svoltare subito a destra,F
Il segnale raffigurato obbliga ad arrestarsi al posto di blocco della polizia,V
"Ciascuno dei pannelli integrativi raffigurati, posto sotto un segnale di pericolo, indica la distanza dall'inizio del pericolo",F
Il segnale raffigurato obbliga ad arrestarsi all'incrocio anche se il semaforo emette luce verde,F
Il segnale raffigurato obbliga ad arrestarsi all'incrocio anche se il vigile indica di proseguire,F
Il segnale raffigurato obbliga ad arrestarsi all'incrocio e a dare la precedenza a destra e a sinistra,V
Il segnale raffigurato obbliga ad arrestarsi per dare la precedenza solo ai veicoli provenienti da destra,F
Il segnale raffigurato obbliga ad arrestarsi per dare la precedenza solo ai veicoli provenienti da destra,F
Il segnale raffigurato obbliga ad arrestarsi soltanto in caso di incrocio con altri veicoli,F
Il segnale raffigurato obbliga ad arrestarsi soltanto in caso di incrocio con altri veicoli,F
Il segnale raffigurato obbliga ad effettuare l'inversione di marcia,F
Il segnale raffigurato obbliga i conducenti a circolare secondo il verso indicato dalle frecce,V
Il segnale raffigurato obbliga i conducenti a passare a destra di un ostacolo,V
"Ciascuno dei pannelli integrativi raffigurati, posto sotto un segnale di pericolo, ne indica la continuazione",V
Il segnale raffigurato obbliga i conducenti a passare a sinistra di un cantiere stradale,V
Il segnale raffigurato obbliga i conducenti a passare a sinistra di un ostacolo,V
Il segnale raffigurato obbliga i conducenti a passare a sinistra di uno spartitraffico,V
Il segnale raffigurato obbliga i conducenti a svoltare a destra,F
Il segnale raffigurato obbliga i conducenti a svoltare a sinistra,F
Il segnale raffigurato obbliga i pedoni a circolare sul margine sinistro della strada,F
Il segnale raffigurato obbliga i veicoli a mantenere almeno la velocità minima indicata,V
Il segnale raffigurato obbliga i veicoli a motore a disporsi in un'unica fila,F
Il segnale raffigurato obbliga sempre a fermarsi prima di occupare l'incrocio,F
Il segnale raffigurato obbliga solo a rallentare senza fermarsi all'incrocio,F
"Ciascuno dei pannelli integrativi raffigurati, posto sul bordo della strada, indica di proseguire diritto",F
Il segnale raffigurato permette ad un ciclomotore di sorpassare un'autovettura,F
Il segnale raffigurato permette ad un'autovettura di sorpassare un ciclomotore a due ruote,V
Il segnale raffigurato permette ai quadricicli a motore il sorpasso di motocicli,V
Il segnale raffigurato permette ai taxi di percorrere la corsia di destra,F
Il segnale raffigurato permette di andare diritto al prossimo incrocio,F
Il segnale raffigurato permette di circolare a velocità inferiore a quella indicata,V
Il segnale raffigurato permette di circolare alla velocità costante di 25 km/h,F
Il segnale raffigurato permette di circolare anche a velocità superiore a quella indicata,V
Il segnale raffigurato permette di passare tra una barra e l'altra se le semibarriere sono chiuse,F
Il segnale raffigurato permette di proseguire solo diritto,F
Ciascuno dei segnali raffigurati indica che la circolazione nel tratto di strada in cui è posto il segnale è a senso unico,V
Il segnale raffigurato permette di sorpassare a sinistra lo spartitraffico,F
Il segnale raffigurato permette di sorpassare ciclomotori a due ruote,V
Il segnale raffigurato permette di svoltare a destra al prossimo incrocio,F
Il segnale raffigurato permette di svoltare a destra o a sinistra,F
Il segnale raffigurato permette il parcheggio ad una particolare categoria di veicoli,V
Il segnale raffigurato permette il parcheggio dalle ore 7 alle 9,F
Il segnale raffigurato permette il passaggio da entrambi i lati dell'ostacolo,V
Il segnale raffigurato permette il sorpasso in corrispondenza dell'incrocio,F
Il segnale raffigurato permette il transito ai ciclomotori,V
Il segnale raffigurato permette il transito ai ciclomotori,V
Ciascuno dei segnali raffigurati indica che non è permesso marciare in senso opposto al segnale nel tratto di strada in cui è posto,V
Il segnale raffigurato permette il transito ai ciclomotori,V
Il segnale raffigurato permette il transito ai ciclomotori a due ruote,V
Il segnale raffigurato permette il transito ai motocicli,V
Il segnale raffigurato permette il transito ai motociclisti con il casco,F
Il segnale raffigurato permette il transito ai pedoni,V
Il segnale raffigurato permette il transito ai quadricicli a motore,V
Il segnale raffigurato permette il transito ai quadricicli a motore,V
Il segnale raffigurato permette il transito dei ciclomotori,F
Il segnale raffigurato permette il transito dei ciclomotori ma con particolare attenzione ai pedoni,F
Il segnale raffigurato permette il transito dei quadricicli a motore,F
Alla guida di un ciclomotore è obbligatorio indossare il casco,V
"Ciascuno dei segnali raffigurati indica l'obbligo di percorrere il tratto di strada in cui è posto, secondo il senso della freccia",V
Il segnale raffigurato permette il transito delle biciclette nelle ore notturne,F
Il segnale raffigurato permette la fermata dei veicoli sulle strisce purché rimanga spazio sufficiente per i pedoni,F
Il segnale raffigurato permette la fermata del veicolo per la salita e la discesa del passeggero,F
Il segnale raffigurato permette la fermata purché il veicolo non sia di intralcio,V
Il segnale raffigurato permette la sosta a particolari categorie di veicoli,F
Il segnale raffigurato permette la sosta ai residenti,F
Il segnale raffigurato permette la sosta ai veicoli al servizio di persone invalide munite dell'apposito contrassegno,V
Il segnale raffigurato permette la sosta dalle ore 9 alle 17,V
Il segnale raffigurato permette la sosta in alcune ore e la vieta in altre,V
Il segnale raffigurato permette la sosta soltanto ai veicoli a due ruote,F
Ciascuno dei segnali raffigurati indica l'obbligo di svoltare nel senso della freccia,F
Il segnale raffigurato permette la svolta a destra al prossimo incrocio,F
Il segnale raffigurato permette l'accesso ai ciclomotori,F
Il segnale raffigurato permette l'uso del clacson per richiamare l'attenzione in qualsiasi circostanza,F
Il segnale raffigurato permette l'uso di avvisatori acustici in caso di pericolo immediato,V
Il segnale raffigurato permette solo di proseguire diritto o di svoltare a sinistra,V
Il segnale raffigurato permette solo di proseguire diritto o svoltare a destra,V
Il segnale raffigurato preavvisa a 150 m una curva pericolosa,V
Il segnale raffigurato preavvisa a 150 m una doppia curva pericolosa,V
Il segnale raffigurato preavvisa cantieri di lavoro,V
Il segnale raffigurato preavvisa che i veicoli provenienti dall'altro senso devono dare la precedenza,F
Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice è minore la stabilità del veicolo,V
Il segnale raffigurato preavvisa che la circolazione diventa a senso unico,F
Il segnale raffigurato preavvisa che la strada si restringe pericolosamente,V
Il segnale raffigurato preavvisa che la strada si restringe pericolosamente a sinistra,V
Il segnale raffigurato preavvisa che non è permesso proseguire diritto,V
Il segnale raffigurato preavvisa che non è permesso proseguire diritto,V
Il segnale raffigurato preavvisa che non è permesso svoltare a destra,V
Il segnale raffigurato preavvisa che non è permesso svoltare a sinistra,V
Il segnale raffigurato preavvisa che si possono incontrare veicoli che provengono dal senso opposto,V
Il segnale raffigurato preavvisa che una strada a senso unico diventa a doppio senso di marcia,V
Il segnale raffigurato preavvisa di norma a 150 m una doppia curva pericolosa,V
Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice il battistrada si consuma maggiormente ai lati,V
Il segnale raffigurato preavvisa il divieto di percorrere quella strada,F
Il segnale raffigurato preavvisa il pericolo di caduta di massi dalla parete rocciosa,V
Il segnale raffigurato preavvisa il pericolo di trovare sassi sulla strada,V
Il segnale raffigurato preavvisa il restringimento della carreggiata dovuto a muretti o altro sul lato destro,V
Il segnale raffigurato preavvisa la fine del doppio senso di circolazione,F
Il segnale raffigurato preavvisa la presenza di aeroplani a bassa quota,F
Il segnale raffigurato preavvisa la presenza di binari del tram,F
Il segnale raffigurato preavvisa la presenza di pietrisco sulla strada,F
Il segnale raffigurato preavvisa la presenza di un passaggio a livello,F
Il segnale raffigurato preavvisa la presenza di un segnale di STOP,F
Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice si consumano maggiormente nella loro parte centrale,F
Il segnale raffigurato preavvisa lavori in corso,V
Il segnale raffigurato preavvisa lavori in corso,F
Il segnale raffigurato preavvisa l'eventuale presenza di operai sulla strada,V
Il segnale raffigurato preavvisa l'incrocio con una strada di minore importanza,V
Il segnale raffigurato preavvisa l'ingresso di una galleria,F
Il segnale raffigurato preavvisa l'inizio di un senso unico,F
Il segnale raffigurato preavvisa l'inizio di una pista ciclabile,F
Il segnale raffigurato preavvisa l'obbligo di dare la precedenza ai veicoli che provengono in senso opposto,F
Il segnale raffigurato preavvisa l'obbligo di svolta a destra,F
Il segnale raffigurato preavvisa l'obbligo di svoltare a destra,V
Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice si ha maggior consumo di carburante,V
Il segnale raffigurato preavvisa l'obbligo di svoltare a destra,F
Il segnale raffigurato preavvisa l'obbligo di svoltare a sinistra,V
Il segnale raffigurato preavvisa luoghi frequentati da bambini,V
Il segnale raffigurato preavvisa probabile difficoltà di incrocio con veicoli provenienti dal senso opposto,V
Il segnale raffigurato preavvisa probabili difficoltà di incrocio con veicoli provenienti dal senso opposto,V
Il segnale raffigurato preavvisa sempre un senso unico alternato,F
Il segnale raffigurato preavvisa un allargamento della strada,F
Il segnale raffigurato preavvisa un attraversamento ciclabile,V
Il segnale raffigurato preavvisa un attraversamento ferroviario senza barriere,F
Il segnale raffigurato preavvisa un attraversamento pedonale,V
Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice si ottiene una migliore prestazione del veicolo,F
Il segnale raffigurato preavvisa un cambio di carreggiata,F
Il segnale raffigurato preavvisa un cambio di corsia,F
Il segnale raffigurato preavvisa un cavalcavia,F
Il segnale raffigurato preavvisa un dosso,F
Il segnale raffigurato preavvisa un incrocio con obbligo di svolta a destra,F
Il segnale raffigurato preavvisa un incrocio con obbligo di svolta a sinistra,F
Il segnale raffigurato preavvisa un incrocio con precedenza a destra,V
Il segnale raffigurato preavvisa un incrocio con una strada di minore importanza,V
Il segnale raffigurato preavvisa un incrocio in cui si deve dare la precedenza a destra,V
Il segnale raffigurato preavvisa un incrocio in cui si ha diritto di precedenza,V
"Circolando con pneumatici a pressione inferiore a quella consigliata dalla casa costruttrice, in caso di strada bagnata, aumenta il pericolo di aquaplaning",V
Il segnale raffigurato preavvisa un incrocio nel quale bisogna dare la precedenza,F
Il segnale raffigurato preavvisa un ostacolo da aggirare a sinistra,F
Il segnale raffigurato preavvisa un passaggio a livello con barriere,V
Il segnale raffigurato preavvisa un passaggio a livello con barriere,F
Il segnale raffigurato preavvisa un passaggio a livello senza barriere,V
Il segnale raffigurato preavvisa un restringimento della carreggiata,F
Il segnale raffigurato preavvisa un restringimento della carreggiata sul lato destro,F
Il segnale raffigurato preavvisa un restringimento della strada,V
Il segnale raffigurato preavvisa un segnale di STOP,V
Il segnale raffigurato preavvisa un segnale di STOP,F
Con il ciclomotore ci si immette nella circolazione accelerando e impennando con la ruota anteriore,F
Il segnale raffigurato preavvisa un semaforo,V
Il segnale raffigurato preavvisa un semaforo,F
Il segnale raffigurato preavvisa un senso unico,F
Il segnale raffigurato preavvisa un tratto di carreggiata sdrucciolevole,F
Il segnale raffigurato preavvisa un tratto di strada con superficie sdrucciolevole,F
Il segnale raffigurato preavvisa un tratto di strada con visibilità limitata,V
Il segnale raffigurato preavvisa un tratto di strada con visibilità limitata,V
Il segnale raffigurato preavvisa un tratto di strada con visibilità limitata,V
Il segnale raffigurato preavvisa un tratto di strada deformata,F
Il segnale raffigurato preavvisa un tratto di strada dove aumenta lo spazio di frenatura del ciclomotore,F
Con il ciclomotore ci si immette nella circolazione accelerando progressivamente per evitare che la ruota anteriore si sollevi,V
Il segnale raffigurato preavvisa un tratto di strada dove è possibile slittare,V
Il segnale raffigurato preavvisa un tratto di strada dove esiste il pericolo di caduta di massi,F
Il segnale raffigurato preavvisa un tratto di strada dove potrebbero essere presenti pietre,V
Il segnale raffigurato preavvisa un tratto di strada in cattivo stato,V
Il segnale raffigurato preavvisa un tratto di strada in cattivo stato,F
Il segnale raffigurato preavvisa un tratto di strada non asfaltato,F
Il segnale raffigurato preavvisa un tratto di strada pericoloso a causa di una cunetta,V
Il segnale raffigurato preavvisa un tratto di strada pericoloso per curve strette,F
Il segnale raffigurato preavvisa un tratto di strada pericoloso per il fondo dissestato,F
Il segnale raffigurato preavvisa un tratto di strada scivolosa,F
Alla guida di un ciclomotore è possibile farsi trainare,F
Con il ciclomotore ci si immette nella circolazione accelerando repentinamente anche se per far ciò non si da la precedenza agli altri veicoli,F
Il segnale raffigurato preavvisa un tratto di strada soggetto a forti raffiche di vento laterale,V
Il segnale raffigurato preavvisa un tratto di strada vicino ad un aeroporto,F
Il segnale raffigurato preavvisa un viale pedonale,F
Il segnale raffigurato preavvisa un viale pedonale,F
Il segnale raffigurato preavvisa una confluenza da sinistra,F
Il segnale raffigurato preavvisa una confluenza sul lato destro,V
Il segnale raffigurato preavvisa una cunetta,V
Il segnale raffigurato preavvisa una curva pericolosa a destra,V
Il segnale raffigurato preavvisa una curva pericolosa a sinistra,V
Il segnale raffigurato preavvisa una discesa la cui pendenza è indicata sul segnale,F
Con il ciclomotore ci si immette nella circolazione evitando brusche accelerate,V
Il segnale raffigurato preavvisa una discesa pericolosa,F
Il segnale raffigurato preavvisa una discesa pericolosa,F
Il segnale raffigurato preavvisa una doppia curva,F
"Il segnale raffigurato preavvisa una doppia curva, la prima a destra",V
"Il segnale raffigurato preavvisa una doppia curva, la prima a sinistra",V
Il segnale raffigurato preavvisa una fermata del tram,F
Il segnale raffigurato preavvisa una galleria,F
Il segnale raffigurato preavvisa una salita che comporta un pericolo,V
Il segnale raffigurato preavvisa una salita pericolosa,F
"Il segnale raffigurato preavvisa una salita, seguita da una discesa, che limita la visibilità",V
Con il ciclomotore ci si immette nella circolazione partendo il più velocemente possibile per anticipare gli altri veicoli,F
Il segnale raffigurato preavvisa una serie di curve,F
Il segnale raffigurato preavvisa una strada deformata,F
Il segnale raffigurato preavvisa una strada senza uscita,F
Il segnale raffigurato preavvisa una strettoia,F
Il segnale raffigurato preavvisa una zona pedonale,F
Il segnale raffigurato preavvisa una zona vietata al transito perché attrezzata per persone invalide,F
Il segnale raffigurato preavvisa un'area di sosta,F
Il segnale raffigurato preavvisa zone soggette a forti raffiche di vento improvvise,V
Il segnale raffigurato precede il segnale DARE PRECEDENZA,F
Il segnale raffigurato precede una luce rossa fissa o due luci rosse lampeggianti,V
Con il ciclomotore ci si immette nella circolazione verificando di non tagliare la strada ad altri veicoli,V
Il segnale raffigurato prescrive ai veicoli che non superano la velocità di 50 km/h di marciare sulla corsia di destra,F
Il segnale raffigurato prescrive di dare precedenza ai veicoli provenienti sia da destra che da sinistra,V
Il segnale raffigurato prescrive di usare il clacson incrociando altri veicoli,F
Il segnale raffigurato prescrive il divieto di sorpassare qualsiasi veicolo,F
Il segnale raffigurato prescrive il divieto di transito ai veicoli della polizia,F
Il segnale raffigurato prescrive sempre la marcia per file parallele,F
Il segnale raffigurato prescrive un obbligo di ROTATORIA solo per le autovetture,F
Il segnale raffigurato può avere una luce gialla lampeggiante,V
Il segnale raffigurato può essere seguito da un segnale acustico per avvertire della chiusura delle barriere,V
Il segnale raffigurato può indicare il proseguimento delle piste affiancate riservate ai pedoni e ai ciclisti,V
Con il fondo stradale bagnato aumenta l'aderenza,F
Il segnale raffigurato può indicare il proseguimento di un percorso riservato ai pedoni ed ai ciclisti,V
Il segnale raffigurato può preavvisare pericolo di caduta nella cunetta laterale,V
Il segnale raffigurato può preavvisare un passaggio a livello con semibarriere,F
Il segnale raffigurato può preavvisare un passaggio a livello custodito con barriere,F
Il segnale raffigurato può preavvisare un tratto di strada cedevole lateralmente,V
Il segnale raffigurato può preavvisare un tratto di strada con banchina pericolosa,V
Il segnale raffigurato può precedere il segnale DARE PRECEDENZA,F
Il segnale raffigurato può precedere il segnale di STOP,F
Il segnale raffigurato può trovarsi su una carreggiata a doppio senso di circolazione,V
Il segnale raffigurato raccomanda di procedere con prudenza tenendo ben saldo il manubrio,V
Con il fondo stradale bagnato diminuisce lo spazio di frenata,F
Il segnale raffigurato richiede di moderare la velocità,V
Il segnale raffigurato richiede di moderare la velocità,V
Il segnale raffigurato richiede di moderare la velocità,V
Il segnale raffigurato richiede di tenere una maggiore distanza di sicurezza dal veicolo che precede,V
Il segnale raffigurato richiede di usare la massima prudenza,V
Il segnale raffigurato riguarda soltanto i veicoli in servizio pubblico,F
Il segnale raffigurato riserva la corsia di destra agli autobus dei servizi pubblici urbani,V
Il segnale raffigurato segnala che nelle ore indicate vale il DIVIETO DI SOSTA per i veicoli rappresentati in figura,F
Il segnale raffigurato segnala l'opportunità di lampeggiare con i fari,F
Il segnale raffigurato segnala sulla sinistra una strada senza uscita,F
Con il fondo stradale bagnato è facile perdere il controllo e cadere se si è alla guida di un ciclomotore a due ruote,V
Il segnale raffigurato segnala un incrocio in cui si ha la precedenza sui veicoli provenienti da sinistra,V
Il segnale raffigurato segnala un pericolo di attraversamento di cavalli,F
Il segnale raffigurato segnala un posto di blocco stradale istituito da organi di polizia al quale è obbligatorio fermarsi,V
Il segnale raffigurato segnala una stazione autostradale alla quale è obbligatorio fermarsi,F
Il segnale raffigurato si trova in corrispondenza di un attraversamento pedonale,V
Il segnale raffigurato si trova prima di un tratto di strada in discesa seguito da uno in salita,V
Il segnale raffigurato si trova solo nelle strade urbane,F
Il segnale raffigurato vale anche per i tricicli e i quadricicli a motore,V
Il segnale raffigurato vale dalle ore 8 alle ore 20,F
Il segnale raffigurato vale solo di giorno,F
Con il fondo stradale bagnato la strada diventa scivolosa,V
Il segnale raffigurato vale solo di notte,F
"Il segnale raffigurato vale solo nei giorni feriali, salvo diversa indicazione",F
Il segnale raffigurato viene posto all'inizio di una strada riservata alla circolazione dei veicoli a motore,V
Il segnale raffigurato vieta ai veicoli a motore e alle biciclette di entrare nella strada dal lato dove è posto,V
Il segnale raffigurato vieta ai veicoli di superare la velocità indicata,V
Il segnale raffigurato vieta di circolare alla velocità di 40 km/h,F
Il segnale raffigurato vieta di entrare in una strada accessibile invece dall'altra parte,V
Il segnale raffigurato vieta di proseguire in quella strada,F
Il segnale raffigurato vieta di sorpassare qualsiasi veicolo,F
Il segnale raffigurato vieta di superare la velocità indicata,F
Con il fondo stradale bagnato la vernice delle strisce rende la strada particolarmente viscida,V
Il segnale raffigurato vieta il passaggio ai veicoli a motore durante l'orario di uscita dei bambini dalla scuola,F
Il segnale raffigurato vieta il sorpasso,F
